0,1,2,3,4
IQ:0,0,11,22,175
IQ:1,8,11,163,-25
IQ:2,16,11,-53,-156
IQ:3,24,11,-158,70
IQ:4,32,11,85,145
IQ:5,40,11,131,-100
IQ:6,48,11,-126,-115
IQ:7,56,11,-131,116
IQ:8,72,12,20,-114
IQ:9,80,255,-105,-42
IQ:10,88,1,-39,81
IQ:11,96,255,59,25
IQ:12,104,2,11,-51
IQ:13,112,255,-98,-42
IQ:14,120,10,-249,-26
IQ:15,128,255,-86,116
IQ:16,136,3,15,-37
IQ:17,144,255,-3,-44
IQ:18,152,9,20,-74
IQ:19,160,255,-73,-40
IQ:20,168,4,-72,61
IQ:21,176,255,22,98
IQ:22,184,8,80,74
IQ:23,192,255,40,-34
IQ:24,200,7,-89,11
IQ:25,208,255,-12,75
IQ:26,216,6,29,-11
IQ:27,224,255,-6,-28
IQ:28,232,5,-20,30
IQ:29,240,255,47,38
IQ:30,248,12,117,-13
IQ:31,256,255,-9,-90
IQ:32,264,1,-95,5
IQ:33,272,255,-5,76
IQ:34,280,2,51,9
IQ:35,288,255,-65,-54
IQ:0,0,11,-104,113
IQ:1,8,11,120,88
IQ:2,16,11,77,-135
IQ:3,24,11,-138,-62
IQ:4,32,11,-41,140
IQ:5,40,11,147,34
IQ:6,48,11,25,-147
IQ:7,56,11,-155,-14
IQ:8,72,12,203,-34
IQ:9,80,255,-8,-232
IQ:10,88,1,-233,-3
IQ:11,96,255,3,231
IQ:12,104,2,220,-13
IQ:13,112,255,-44,-228
IQ:14,120,10,-286,39
IQ:15,128,255,40,256
IQ:16,136,3,238,-50
IQ:17,144,255,-26,-221
IQ:18,152,9,-153,11
IQ:19,160,255,58,137
IQ:20,168,4,143,-67
IQ:21,176,255,-69,-97
IQ:22,184,8,-21,196
IQ:23,192,255,196,45
IQ:24,200,7,-13,-150
IQ:25,208,255,-201,-12
IQ:26,216,6,-75,167
IQ:27,224,255,152,28
IQ:28,232,5,-39,-206
IQ:29,240,255,-192,29
IQ:30,248,12,109,171
IQ:31,256,255,198,-117
IQ:32,264,1,-92,-227
IQ:33,272,255,-216,81
IQ:34,280,2,98,192
IQ:35,288,255,169,-78
IQ:0,0,11,-22,-156
IQ:1,8,11,-162,25
IQ:2,16,11,39,148
IQ:3,24,11,156,-56
IQ:4,32,11,-67,-137
IQ:5,40,11,-140,74
IQ:6,48,11,101,123
IQ:7,56,11,131,-102
IQ:8,72,12,-135,79
IQ:9,80,255,91,157
IQ:10,88,1,135,-120
IQ:11,96,255,-132,-141
IQ:12,104,2,-122,187
IQ:13,112,255,195,139
IQ:14,120,10,156,-220
IQ:15,128,255,-210,-160
IQ:16,136,3,-169,206
IQ:17,144,255,225,193
IQ:18,152,9,262,-149
IQ:19,160,255,-137,-221
IQ:20,168,4,-191,67
IQ:21,176,255,47,95
IQ:22,184,8,-88,-111
IQ:23,192,255,-164,67
IQ:24,200,7,50,117
IQ:25,208,255,154,-77
IQ:26,216,6,-7,-208
IQ:27,224,255,-164,13
IQ:28,232,5,118,80
IQ:29,240,255,99,-138
IQ:30,248,12,-120,-107
IQ:31,256,255,-113,131
IQ:32,264,1,170,92
IQ:33,272,255,74,-168
IQ:34,280,2,-232,-28
IQ:35,288,255,-55,203
IQ:0,0,11,-179,50
IQ:1,8,11,61,187
IQ:2,16,11,175,-71
IQ:3,24,11,-95,-146
IQ:4,32,11,-153,121
IQ:5,40,11,116,157
IQ:6,48,11,128,-125
IQ:7,56,11,-140,-109
IQ:8,72,12,156,8
IQ:9,80,255,36,-111
IQ:10,88,1,-97,-12
IQ:11,96,255,-17,81
IQ:12,104,2,51,9
IQ:13,112,255,49,-93
IQ:14,120,10,46,-284
IQ:15,128,255,-141,-104
