0,1,2,3,4
IQ:0,0,11,-29,159
IQ:1,8,11,159,1
IQ:2,16,11,-19,-159
IQ:3,24,11,-168,28
IQ:4,32,11,47,158
IQ:5,40,11,149,-67
IQ:6,48,11,-74,-151
IQ:7,56,11,-139,93
IQ:8,72,12,105,-102
IQ:9,80,255,-126,-77
IQ:10,88,1,-96,177
IQ:11,96,255,152,71
IQ:12,104,2,0,-187
IQ:13,112,255,-181,-2
IQ:14,120,10,10,113
IQ:15,128,255,129,-40
IQ:16,136,3,-74,-163
IQ:17,144,255,-159,51
IQ:18,152,9,73,105
IQ:19,160,255,120,-109
IQ:20,168,4,-86,-179
IQ:21,176,255,-159,79
IQ:22,184,8,114,129
IQ:23,192,255,110,-108
IQ:24,200,7,-133,-25
IQ:25,208,255,-56,153
IQ:26,216,6,127,77
IQ:27,224,255,58,-140
IQ:28,232,5,-151,-52
IQ:29,240,255,-29,151
IQ:30,248,12,141,25
IQ:31,256,255,-10,-145
IQ:32,264,1,-200,24
IQ:33,272,255,25,156
IQ:34,280,2,141,-117
IQ:35,288,255,-123,-155
IQ:0,0,11,-66,-184
IQ:1,8,11,-176,70
IQ:2,16,11,107,152
IQ:3,24,11,131,-121
IQ:4,32,11,-145,-135
IQ:5,40,11,-126,136
IQ:6,48,11,149,96
IQ:7,56,11,71,-172
IQ:8,72,12,31,238
IQ:9,80,255,176,-39
IQ:10,88,1,-150,-160
IQ:11,96,255,-158,119
IQ:12,104,2,121,83
IQ:13,112,255,115,-159
IQ:14,120,10,-45,-160
IQ:15,128,255,-68,58
IQ:16,136,3,198,9
IQ:17,144,255,73,-187
IQ:18,152,9,-42,-38
IQ:19,160,255,54,89
IQ:20,168,4,268,-23
IQ:21,176,255,23,-221
IQ:22,184,8,-98,34
IQ:23,192,255,47,129
IQ:24,200,7,108,15
IQ:25,208,255,-35,-94
IQ:26,216,6,-138,81
IQ:27,224,255,153,118
IQ:28,232,5,224,-217
IQ:29,240,255,-193,-215
IQ:30,248,12,-154,176
IQ:31,256,255,148,107
IQ:32,264,1,19,-215
IQ:33,272,255,-201,-42
IQ:34,280,2,24,150
IQ:35,288,255,198,-8
IQ:0,0,11,191,17
IQ:1,8,11,2,-193
IQ:2,16,11,-184,21
IQ:3,24,11,47,178
IQ:4,32,11,184,-68
IQ:5,40,11,-80,-161
IQ:6,48,11,-159,103
IQ:7,56,11,116,154
IQ:8,72,12,-215,-82
IQ:9,80,255,-46,165
IQ:10,88,1,204,-51
IQ:11,96,255,-37,-186
IQ:12,104,2,-137,80
IQ:13,112,255,82,167
IQ:14,120,10,163,19
IQ:15,128,255,-6,-87
IQ:16,136,3,-86,182
IQ:17,144,255,131,150
IQ:18,152,9,44,-23
IQ:19,160,255,-109,5
IQ:20,168,4,-102,249
IQ:21,176,255,194,135
IQ:22,184,8,21,-104
IQ:23,192,255,-144,-9
IQ:24,200,7,-65,91
IQ:25,208,255,94,10
IQ:26,216,6,-12,-162
IQ:27,224,255,-170,87
IQ:28,232,5,82,311
IQ:29,240,255,268,-74
IQ:30,248,12,-88,-216
IQ:31,256,255,-172,71
IQ:32,264,1,168,120
IQ:33,272,255,118,-159
IQ:34,280,2,-148,-53
IQ:35,288,255,-93,177
IQ:0,0,11,152,-70
IQ:1,8,11,-91,-145
IQ:2,16,11,-134,97
IQ:3,24,11,106,138
IQ:4,32,11,121,-108
IQ:5,40,11,-138,-92
IQ:6,48,11,-79,144
IQ:7,56,11,156,73
IQ:8,72,12,-141,-37
IQ:9,80,255,-11,147
IQ:10,88,1,198,1
IQ:11,96,255,-6,-167
IQ:12,104,2,-159,97
IQ:13,112,255,92,156
IQ:14,120,10,99,-77
IQ:15,128,255,-96,-97
IQ:16,136,3,-106,150
IQ:17,144,255,129,106
IQ:18,152,9,62,-118
IQ:19,160,255,-155,-66
IQ:20,168,4,-116,163
IQ:21,176,255,144,92
IQ:22,184,8,51,-168
IQ:23,192,255,-154,-35
IQ:24,200,7,28,135
IQ:25,208,255,155,-33
IQ:26,216,6,3,-155
IQ:27,224,255,-162,21
IQ:28,232,5,25,159
IQ:29,240,255,151,-42
IQ:30,248,12,-54,-137
IQ:31,256,255,-116,83
IQ:32,264,1,125,150
IQ:33,272,255,118,-114
IQ:34,280,2,-172,-74
IQ:35,288,255,-77,184
IQ:0,0,11,-141,-129
IQ:1,8,11,-124,148
IQ:2,16,11,153,119
IQ:3,24,11,90,-169
IQ:4,32,11,-179,-79
IQ:5,40,11,-62,181
IQ:6,48,11,182,32
IQ:7,56,11,9,-183
IQ:8,72,12,106,209
IQ:9,80,255,149,-101
IQ:10,88,1,-187,-93
IQ:11,96,255,-83,185
IQ:12,104,2,159,29
IQ:13,112,255,59,-188
IQ:14,120,10,-87,-132
IQ:15,128,255,-35,78
IQ:16,136,3,190,-79
IQ:17,144,255,0,-194
IQ:18,152,9,-46,-17
IQ:19,160,255,87,63
IQ:20,168,4,247,-139
IQ:21,176,255,-58,-231
IQ:22,184,8,-82,75
IQ:23,192,255,110,106
IQ:24,200,7,106,-29
IQ:25,208,255,-65,-75
IQ:26,216,6,-95,133
IQ:27,224,255,188,43
IQ:28,232,5,90,-301
IQ:29,240,255,-259,-110
IQ:30,248,12,-79,216
IQ:31,256,255,172,45
IQ:32,264,1,-60,-199
IQ:33,272,255,-194,47
IQ:34,280,2,70,140
IQ:35,288,255,181,-94
IQ:0,0,11,2,-172
IQ:1,8,11,-171,22
IQ:2,16,11,29,174
IQ:3,24,11,169,-30
IQ:4,32,11,-54,-161
IQ:5,40,11,-161,72
IQ:6,48,11,75,152
IQ:7,56,11,146,-100
IQ:8,72,12,-142,126
IQ:9,80,255,113,95
IQ:10,88,1,48,-158
IQ:11,96,255,-154,-43
IQ:12,104,2,14,149
IQ:13,112,255,169,-19
IQ:14,120,10,2,-145
IQ:15,128,255,-124,20
IQ:16,136,3,94,125
IQ:17,144,255,144,-82
