0,1,2,3,4
IQ:0,0,11,-82,147
IQ:1,8,11,147,73
IQ:2,16,11,55,-156
IQ:3,24,11,-162,-42
IQ:4,32,11,-21,168
IQ:5,40,11,171,8
IQ:6,48,11,7,-161
IQ:7,56,11,-162,23
IQ:8,72,12,97,-66
IQ:9,80,255,-82,-94
IQ:10,88,1,-101,113
IQ:11,96,255,119,89
IQ:12,104,2,96,-122
IQ:13,112,255,-124,-90
IQ:14,120,10,-71,131
IQ:15,128,255,126,66
IQ:16,136,3,25,-123
IQ:17,144,255,-136,-14
IQ:18,152,9,-15,136
IQ:19,160,255,139,5
IQ:20,168,4,-8,-134
IQ:21,176,255,-126,20
IQ:22,184,8,49,115
IQ:23,192,255,120,-54
IQ:24,200,7,-79,-109
IQ:25,208,255,-108,80
IQ:26,216,6,86,113
IQ:27,224,255,103,-95
IQ:28,232,5,-91,-95
IQ:29,240,255,-81,103
IQ:30,248,12,106,62
IQ:31,256,255,41,-117
IQ:32,264,1,-142,-32
IQ:33,272,255,-32,150
IQ:34,280,2,147,27
IQ:35,288,255,4,-164
IQ:0,0,11,-122,-127
IQ:1,8,11,-99,136
IQ:2,16,11,144,81
IQ:3,24,11,87,-151
IQ:4,32,11,-158,-72
IQ:5,40,11,-61,156
IQ:6,48,11,162,68
IQ:7,56,11,17,-172
IQ:8,72,12,34,71
IQ:9,80,255,45,-80
IQ:10,88,1,-191,-62
IQ:11,96,255,-70,195
IQ:12,104,2,213,131
IQ:13,112,255,124,-202
IQ:14,120,10,-208,-115
IQ:15,128,255,-104,117
IQ:16,136,3,90,-137
IQ:17,144,255,-114,-166
IQ:18,152,9,-196,34
IQ:19,160,255,-9,179
IQ:20,168,4,54,-12
IQ:21,176,255,-27,-96
IQ:22,184,8,-84,18
IQ:23,192,255,72,73
IQ:24,200,7,170,-154
IQ:25,208,255,-117,-189
IQ:26,216,6,-138,82
IQ:27,224,255,78,168
IQ:28,232,5,115,18
IQ:29,240,255,-22,-78
IQ:30,248,12,-46,56
IQ:31,256,255,75,2
IQ:32,264,1,-36,-190
IQ:33,272,255,-205,34
IQ:34,280,2,5,246
IQ:35,288,255,241,26
IQ:0,0,11,-57,181
IQ:1,8,11,186,27
IQ:2,16,11,-8,-179
IQ:3,24,11,-191,29
IQ:4,32,11,24,192
IQ:5,40,11,178,-56
IQ:6,48,11,-50,-177
IQ:7,56,11,-175,75
IQ:8,72,12,57,-60
IQ:9,80,255,-100,-9
IQ:10,88,1,9,199
IQ:11,96,255,225,-12
IQ:12,104,2,19,-267
IQ:13,112,255,-251,-31
IQ:14,120,10,-24,245
IQ:15,128,255,168,51
IQ:16,136,3,-157,-24
IQ:17,144,255,-95,183
IQ:18,152,9,140,157
IQ:19,160,255,164,-104
IQ:20,168,4,-49,-55
IQ:21,176,255,-71,84
IQ:22,184,8,52,87
IQ:23,192,255,51,-104
IQ:24,200,7,-210,-95
IQ:25,208,255,-98,192
IQ:26,216,6,156,81
IQ:27,224,255,104,-163
IQ:28,232,5,-65,-116
IQ:29,240,255,-66,68
IQ:30,248,12,95,10
IQ:31,256,255,-48,-84
IQ:32,264,1,-151,135
IQ:33,272,255,144,181
IQ:34,280,2,234,-109
IQ:35,288,255,-104,-238
IQ:0,0,11,122,102
IQ:1,8,11,97,-126
IQ:2,16,11,-145,-72
IQ:3,24,11,-45,144
IQ:4,32,11,156,28
IQ:5,40,11,10,-156
IQ:6,48,11,-162,-16
IQ:7,56,11,6,146
IQ:8,72,12,-43,-121
IQ:9,80,255,-113,72
IQ:10,88,1,80,111
IQ:11,96,255,91,-88
IQ:12,104,2,-138,-53
IQ:13,112,255,-61,146
IQ:14,120,10,141,89
IQ:15,128,255,89,-130
IQ:16,136,3,-107,-46
IQ:17,144,255,7,92
IQ:18,152,9,130,-78
IQ:19,160,255,-72,-171
IQ:20,168,4,-135,26
IQ:21,176,255,38,138
IQ:22,184,8,109,-18
IQ:23,192,255,-49,-106
IQ:24,200,7,-95,51
IQ:25,208,255,79,101
IQ:26,216,6,119,-73
IQ:27,224,255,-102,-98
IQ:28,232,5,-102,123
IQ:29,240,255,127,105
IQ:30,248,12,77,-99
IQ:31,256,255,-114,-60
IQ:32,264,1,-57,116
IQ:33,272,255,126,44
IQ:34,280,2,5,-140
IQ:35,288,255,-163,12
IQ:0,0,11,-44,-166
IQ:1,8,11,-163,53
IQ:2,16,11,63,156
IQ:3,24,11,142,-88
IQ:4,32,11,-107,-137
IQ:5,40,11,-132,110
IQ:6,48,11,121,126
IQ:7,56,11,106,-125
IQ:8,72,12,-30,123
IQ:9,80,255,125,20
IQ:10,88,1,1,-148
IQ:11,96,255,-154,15
IQ:12,104,2,18,152
IQ:13,112,255,146,-28
IQ:14,120,10,-50,-153
IQ:15,128,255,-145,41
IQ:16,136,3,65,109
IQ:17,144,255,109,-86
IQ:18,152,9,-93,-109
IQ:19,160,255,-106,107
IQ:20,168,4,99,102
IQ:21,176,255,85,-109
IQ:22,184,8,-120,-65
IQ:23,192,255,-60,125
IQ:24,200,7,122,38
IQ:25,208,255,29,-135
IQ:26,216,6,-141,-33
IQ:27,224,255,-18,142
IQ:28,232,5,132,8
IQ:29,240,255,-3,-133
IQ:30,248,12,-125,34
IQ:31,256,255,44,118
IQ:32,264,1,116,-81
IQ:33,272,255,-91,-118
IQ:34,280,2,-127,100
IQ:35,288,255,104,127
IQ:0,0,11,-34,174
IQ:1,8,11,184,7
IQ:2,16,11,-12,-184
IQ:3,24,11,-176,27
IQ:4,32,11,42,182
IQ:5,40,11,164,-59
IQ:6,48,11,-54,-162
IQ:7,56,11,-160,59
IQ:8,72,12,57,-52
IQ:9,80,255,-94,5
IQ:10,88,1,30,192
IQ:11,96,255,214,-39
IQ:12,104,2,-7,-260
IQ:13,112,255,-243,3
IQ:14,120,10,-11,229
IQ:15,128,255,161,36
IQ:16,136,3,-160,-8
IQ:17,144,255,-78,191
IQ:18,152,9,137,125
IQ:19,160,255,156,-103
IQ:20,168,4,-33,-59
IQ:21,176,255,-57,90
IQ:22,184,8,59,60
IQ:23,192,255,35,-101
IQ:24,200,7,-216,-55
IQ:25,208,255,-88,204
IQ:26,216,6,145,71
IQ:27,224,255,109,-151
IQ:28,232,5,-47,-119
IQ:29,240,255,-62,58
IQ:30,248,12,76,6
IQ:31,256,255,-37,-83
IQ:32,264,1,-149,129
IQ:33,272,255,139,165
IQ:34,280,2,216,-131
IQ:35,288,255,-113,-231
IQ:0,0,11,45,152
IQ:1,8,11,132,-75
IQ:2,16,11,-108,-143
IQ:3,24,11,-130,97
IQ:4,32,11,115,112
IQ:5,40,11,111,-130
IQ:6,48,11,-143,-90
IQ:7,56,11,-84,140
IQ:8,72,12,5,-139
IQ:9,80,255,-148,-10
IQ:10,88,1,-22,142
IQ:11,96,255,127,-3
IQ:12,104,2,-75,-133
IQ:13,112,255,-141,79
IQ:14,120,10,65,152
IQ:15,128,255,135,-80
IQ:16,136,3,-84,-88
IQ:17,144,255,-62,78
IQ:18,152,9,161,1
IQ:19,160,255,15,-189
IQ:20,168,4,-134,-57
IQ:21,176,255,-49,145
IQ:22,184,8,97,32
IQ:23,192,255,18,-117
IQ:24,200,7,-118,-18
IQ:25,208,255,9,122
IQ:26,216,6,146,-30
IQ:27,224,255,-46,-157
IQ:28,232,5,-165,56
IQ:29,240,255,54,152
IQ:30,248,12,115,-60
IQ:31,256,255,-76,-124
IQ:32,264,1,-126,56
IQ:33,272,255,86,93
IQ:34,280,2,76,-131
IQ:35,288,255,-143,-85
IQ:0,0,11,-159,59
IQ:1,8,11,85,147
IQ:2,16,11,147,-90
IQ:3,24,11,-101,-131
IQ:4,32,11,-136,110
IQ:5,40,11,118,118
IQ:6,48,11,91,-141
IQ:7,56,11,-145,-89
IQ:8,72,12,121,12
IQ:9,80,255,-7,-128
IQ:10,88,1,-149,18
IQ:11,96,255,31,147
IQ:12,104,2,151,-34
IQ:13,112,255,-40,-149
IQ:14,120,10,-154,50
IQ:15,128,255,59,137
IQ:16,136,3,97,-72
IQ:17,144,255,-100,-95
IQ:18,152,9,-90,104
IQ:19,160,255,115,98
IQ:20,168,4,77,-107
IQ:21,176,255,-119,-64
IQ:22,184,8,-55,120
IQ:23,192,255,128,31
IQ:24,200,7,15,-127
IQ:25,208,255,-142,-12
IQ:26,216,6,-23,145
IQ:27,224,255,138,4
IQ:28,232,5,-10,-132
IQ:29,240,255,-125,14
IQ:30,248,12,47,109
IQ:31,256,255,106,-67
IQ:32,264,1,-91,-108
IQ:33,272,255,-113,99
IQ:34,280,2,108,116
IQ:35,288,255,107,-128
IQ:0,0,11,181,21
IQ:1,8,11,13,-181
IQ:2,16,11,-190,10
IQ:3,24,11,18,187
IQ:4,32,11,179,-32
IQ:5,40,11,-55,-188
IQ:6,48,11,-170,61
IQ:7,56,11,95,155
IQ:8,72,12,-73,-56
IQ:9,80,255,3,94
IQ:10,88,1,195,-34
IQ:11,96,255,-39,-223
IQ:12,104,2,-262,6
IQ:13,112,255,13,255
IQ:14,120,10,249,1
IQ:15,128,255,36,-173
IQ:16,136,3,-11,158
IQ:17,144,255,183,101
IQ:18,152,9,152,-119
IQ:19,160,255,-105,-171
IQ:20,168,4,-72,43
IQ:21,176,255,90,74
IQ:22,184,8,75,-67
IQ:23,192,255,-113,-45
IQ:24,200,7,-50,220
IQ:25,208,255,215,74
IQ:26,216,6,76,-162
IQ:27,224,255,-163,-104
IQ:28,232,5,-125,63
IQ:29,240,255,68,57
IQ:30,248,12,10,-89
IQ:31,256,255,-70,46
IQ:32,264,1,144,135
IQ:33,272,255,163,-150
IQ:34,280,2,-142,-220
IQ:35,288,255,-232,129
IQ:0,0,11,-132,101
IQ:1,8,11,104,120
IQ:2,16,11,98,-132
IQ:3,24,11,-137,-98
IQ:4,32,11,-92,142
IQ:5,40,11,144,61
IQ:6,48,11,51,-157
IQ:7,56,11,-163,-27
IQ:8,72,12,131,-17
IQ:9,80,255,-34,-136
IQ:10,88,1,-140,27
IQ:11,96,255,50,116
IQ:12,104,2,103,-107
IQ:13,112,255,-117,-117
IQ:14,120,10,-136,108
IQ:15,128,255,105,115
IQ:16,136,3,73,-94
IQ:17,144,255,-87,-39
IQ:18,152,9,55,144
IQ:19,160,255,172,-28
IQ:20,168,4,8,-144
IQ:21,176,255,-153,-9
IQ:22,184,8,-9,108
IQ:23,192,255,117,-15
IQ:24,200,7,-24,-118
IQ:25,208,255,-126,54
IQ:26,216,6,55,144
IQ:27,224,255,139,-79
IQ:28,232,5,-94,-143
IQ:29,240,255,-139,96
IQ:30,248,12,83,96
IQ:31,256,255,86,-108
IQ:32,264,1,-119,-98
IQ:33,272,255,-72,109
IQ:34,280,2,137,30
IQ:35,288,255,31,-164
IQ:0,0,11,-44,157
IQ:1,8,11,159,34
IQ:2,16,11,14,-168
IQ:3,24,11,-175,-3
IQ:4,32,11,7,169
IQ:5,40,11,161,-36
IQ:6,48,11,-63,-159
IQ:7,56,11,-152,69
IQ:8,72,12,84,-87
IQ:9,80,255,-107,-73
IQ:10,88,1,-82,120
IQ:11,96,255,134,62
IQ:12,104,2,57,-146
IQ:13,112,255,-150,-45
IQ:14,120,10,-49,148
IQ:15,128,255,138,39
IQ:16,136,3,-7,-118
IQ:17,144,255,-129,30
IQ:18,152,9,34,136
IQ:19,160,255,145,-44
IQ:20,168,4,-37,-130
IQ:21,176,255,-121,41
IQ:22,184,8,77,105
IQ:23,192,255,98,-92
IQ:24,200,7,-97,-89
IQ:25,208,255,-85,113
IQ:26,216,6,110,84
IQ:27,224,255,79,-117
IQ:28,232,5,-117,-58
IQ:29,240,255,-51,117
IQ:30,248,12,115,36
IQ:31,256,255,1,-122
IQ:32,264,1,-141,19
IQ:33,272,255,19,149
IQ:34,280,2,156,-17
IQ:35,288,255,-33,-154
IQ:0,0,11,149,-85
IQ:1,8,11,-86,-144
IQ:2,16,11,-129,102
IQ:3,24,11,116,120
IQ:4,32,11,112,-118
IQ:5,40,11,-138,-94
IQ:6,48,11,-75,143
IQ:7,56,11,148,70
IQ:8,72,12,-118,1
IQ:9,80,255,18,121
IQ:10,88,1,136,-36
IQ:11,96,255,-41,-141
IQ:12,104,2,-145,44
IQ:13,112,255,62,138
IQ:14,120,10,136,-68
IQ:15,128,255,-71,-122
IQ:16,136,3,-73,92
IQ:17,144,255,106,75
IQ:18,152,9,82,-113
IQ:19,160,255,-124,-76
IQ:20,168,4,-66,115
IQ:21,176,255,118,54
IQ:22,184,8,27,-120
IQ:23,192,255,-138,-8
IQ:24,200,7,-2,129
IQ:25,208,255,136,-7
IQ:26,216,6,-11,-137
IQ:27,224,255,-131,24
IQ:28,232,5,26,125
IQ:29,240,255,114,-39
IQ:30,248,12,-64,-108
IQ:31,256,255,-102,76
IQ:32,264,1,97,94
IQ:33,272,255,88,-111
IQ:34,280,2,-125,-91
IQ:35,288,255,-91,130
IQ:0,0,11,113,-107
IQ:1,8,11,-110,-106
IQ:2,16,11,-82,125
IQ:3,24,11,137,65
IQ:4,32,11,52,-136
IQ:5,40,11,-150,-36
IQ:6,48,11,-38,142
IQ:7,56,11,141,18
IQ:8,72,12,-70,22
IQ:9,80,255,62,40
IQ:10,88,1,69,-140
IQ:11,96,255,-169,-69
IQ:12,104,2,-123,164
IQ:13,112,255,155,121
IQ:14,120,10,123,-164
IQ:15,128,255,-93,-105
IQ:16,136,3,96,65
IQ:17,144,255,142,-81
IQ:18,152,9,-27,-159
IQ:19,160,255,-158,-6
IQ:20,168,4,0,62
IQ:21,176,255,94,-36
IQ:22,184,8,-3,-86
